unit_id,attribute,value,as_of_date,knowable_from,source_url,vintage,note,confidence
GEN.L,uk_revenue_share,0.8895,2024-12-31,2025-03-10,https://www.genuitgroup.com/wp-content/uploads/2025/03/20250310-Genuit-FY24-Final.pdf,FY2024,"Revenue by destination: UK 499.3 of 561.3 group. Note 2 Segment information, geographical analysis.",high
GEN.L,revenue_share_heating_ventilation,0.2879,2024-12-31,2025-03-10,https://www.genuitgroup.com/wp-content/uploads/2025/03/20250310-Genuit-FY24-Final.pdf,FY2024,"Climate Management Solutions 161.6 of 561.3. Segment described as 'low carbon heating and cooling, and clean and healthy air ventilation'; heating and ventilation are not split by the firm, so recorded combined per R1.",high
GEN.L,revenue_share_insulation,0.0,2024-12-31,2025-03-10,https://www.genuitgroup.com/wp-content/uploads/2025/03/20250310-Genuit-FY24-Final.pdf,FY2024,"MEASURED ZERO per R6. No insulation line disclosed; Water Management (drainage) and Sustainable Building Solutions (plumbing, water supply, building accessories) map to no affected category.",high
GEN.L,uk_revenue_share,0.8851,2023-12-31,2025-03-10,https://www.genuitgroup.com/wp-content/uploads/2025/03/20250310-Genuit-FY24-Final.pdf,FY2024-comparative,"UK 519.1 of 586.5, as presented as prior-year comparative in the FY2024 results. knowable_from is the FY2024 announcement per R7, NOT the FY2023 announcement. The originally-published FY2023 figure is a separate row still to be curated.",high
GEN.L,revenue_share_heating_ventilation,0.2829,2023-12-31,2025-03-10,https://www.genuitgroup.com/wp-content/uploads/2025/03/20250310-Genuit-FY24-Final.pdf,FY2024-comparative,"CMS 165.9 of 586.5, prior-year comparative. Exists to make sensitivity S7 runnable; see R7.",high
MSLH.L,uk_revenue_share,0.9977,2024-12-31,2025-03-17,https://www.marshalls.co.uk/media/q3bprccp/marshalls-full-year-results-2024.pdf,FY2024,Geographical destination of revenue: United Kingdom 617.8 of 619.2 group (Rest of World 1.4). Segment note.,high
MSLH.L,revenue_share_insulation,0.0,2024-12-31,2025-03-17,https://www.marshalls.co.uk/media/q3bprccp/marshalls-full-year-results-2024.pdf,FY2024,MEASURED ZERO per R6. No insulation line in any of the three segments.,high
MSLH.L,revenue_share_heating_ventilation,0.0,2024-12-31,2025-03-17,https://www.marshalls.co.uk/media/q3bprccp/marshalls-full-year-results-2024.pdf,FY2024,MEASURED ZERO per R6.,high
MSLH.L,uk_revenue_share,0.9875,2023-12-31,2025-03-17,https://www.marshalls.co.uk/media/q3bprccp/marshalls-full-year-results-2024.pdf,FY2024-comparative,"UK 662.8 of 671.2, prior-year comparative. knowable_from is the FY2024 announcement per R7. Supports sensitivity S7.",high
IBST.L,revenue_share_insulation,0.0,2024-12-31,2025-03-05,https://www.londonstockexchange.com/news-article/IBST/results-for-the-year-ended-31-december-2024/16925492,FY2024,"MEASURED ZERO per R6. Segments are Clay (bricks, masonry, prefabricated components; Ibstock Futures reported within Clay) and Concrete. No insulation line.",high
IBST.L,revenue_share_heating_ventilation,0.0,2024-12-31,2025-03-05,https://www.londonstockexchange.com/news-article/IBST/results-for-the-year-ended-31-december-2024/16925492,FY2024,MEASURED ZERO per R6.,high
IBST.L,revenue_share_roof_integrated_solar,0.0,2024-12-31,2025-03-05,https://www.londonstockexchange.com/news-article/IBST/results-for-the-year-ended-31-december-2024/16925492,FY2024,"MEASURED ZERO per R6. Concrete Division makes concrete ROOFING (tiles, walling, flooring, fencing) but no roof-integrated solar. Distinguishing these is why R1a exists.",high
KRX.IR,revenue_share_insulation,0.2120,2024-12-31,2025-02-20,https://www.kingspangroup.com/content/dam/kingspan-group-website/documents/2025-reports---presentations/kgr-full-year-results-2024-preliminary-statement-en-v2-20022025.pdf,FY2024,"Insulation segment turnover EUR1824.7m of EUR8608.0m group (segments: Insulated Panels 4737.5, Insulation 1824.7, Light Air + Water 961.1, Roofing + Waterproofing 568.5, Data Solutions 516.2). EXCLUDES Insulated Panels (0.5504 of group): composite building-envelope systems sold predominantly into non-residential construction, which UK DOMESTIC efficiency policy does not drive. See open item (d) - end market is an unmodelled dimension.",high
KRX.IR,revenue_share_insulation,0.1889,2023-12-31,2025-02-20,https://www.kingspangroup.com/content/dam/kingspan-group-website/documents/2025-reports---presentations/kgr-full-year-results-2024-preliminary-statement-en-v2-20022025.pdf,FY2024-comparative,"Insulation 1528.0 of 8090.6, prior-year comparative. knowable_from is the FY2024 release per R7. Supports S7.",high
KRX.IR,revenue_share_roof_integrated_solar,0.0,2024-12-31,2025-02-20,https://www.kingspangroup.com/content/dam/kingspan-group-website/documents/2025-reports---presentations/kgr-full-year-results-2024-preliminary-statement-en-v2-20022025.pdf,FY2024,"MEASURED ZERO per R6. Roofing + Waterproofing is membranes and waterproofing, not roof-integrated solar. PowerPanel (solar-integrated insulated panel) was pre-launch at this vintage and carries no disclosed revenue.",high
KRX.IR,uk_revenue_share,0.3635,2014-12-31,2015-02-23,https://www.kingspan.com/content/dam/kingspan-group-website/documents/2015-reports---presentations/kingspan-full-year-results-report-2015.pdf,FY2014,"Analysis of segmental data by geography: United Kingdom EUR687.4m of EUR1891.2m group (Republic of Ireland 81.1, United Kingdom 687.4, Rest of Europe 668.0, Americas 274.1, Others 180.6). Geography IS in the preliminary results statement, contrary to the note in docs/exposure_construction.md 7.4 - see the correction there.",high
