event_id,mandated_min_band,affected_categories,scope,direction,mechanism,note
zero-carbon-homes-cancelled,,,new_build,loosen,mandate,"Allowable solutions and the 2016 on-site efficiency uplift dropped. BAND UNRESOLVED: the zero-carbon standard was a CO2/allowable-solutions construct, not an EPC band. See open item (a)."
green-deal-funding-ended,,insulation;heating_ventilation,all_domestic,loosen,subsidy,"Green Deal financed both fabric and heating measures; GDHIF vouchers withdrawn the same day."
fhs-2019-consultation,,,new_build,tighten,consultation,"Part L / Part F consultation. Proposal only; binding standard follows in 2021. BAND UNRESOLVED, open item (a)."
ten-point-plan,,insulation;heating_ventilation,all_domestic,tighten,strategy,"Point 7 greener buildings; 600k heat pumps/yr by 2028. Signalling, no binding instrument on this date."
ten-point-plan,,,new_build,tighten,strategy,"New-build leg of the same announcement. BAND UNRESOLVED, open item (a)."
fhs-2019-response,,,new_build,tighten,mandate,"Government response plus the Part L interim uplift (31% CO2 vs 2013 baseline). BAND UNRESOLVED, open item (a); the 31% step is the raw material for a future mapping."
ghg-vouchers-closed,,insulation;heating_ventilation,all_domestic,loosen,subsidy,"Green Homes Grant voucher scheme closed to new applications at 17:00 Saturday."
eco4-consultation,,insulation;heating_ventilation,all_domestic,tighten,obligation,"Supplier obligation. ECO targets fuel-poor households across tenures, so scope is all_domestic rather than a single tenure."
heat-and-buildings-strategy,,insulation;heating_ventilation,all_domestic,tighten,strategy,"Heat and Buildings Strategy plus the £450m Boiler Upgrade Scheme at £5,000 per grant."
part-l-2021-published,,,new_build,tighten,mandate,"31% CO2 uplift, in force 2022-06-15. Largest single regulatory cost step on housebuilders in the sample. BAND UNRESOLVED, open item (a)."
energy-security-strategy,,insulation;heating_ventilation,all_domestic,tighten,strategy,"ECO4 confirmed; 600k heat pumps/yr by 2028. Also reiterated the VAT zero-rate on energy saving materials, whose own event (2022-03-23) was not promoted for want of a source URL."
shdf-wave21-awards,,insulation;heating_ventilation,social_rented,tighten,subsidy,"£778m to social landlords. Scope is social_rented: the capex lands on registered providers, and the product demand is downstream of that."
net-zero-rollback-2023,C,,domestic_prs,loosen,mandate,"THE LANDLORD LEG. The scrapped requirement was EPC C for privately rented homes, so C is the band that would have bound; `direction` loosen carries the sign. Cleanest single target in the file."
net-zero-rollback-2023,,heating_ventilation,off_gas_grid,loosen,mandate,"Off-grid oil/LPG boiler phase-out moved 2026 to 2035, plus outright exemptions for some homes."
net-zero-rollback-2023,,heating_ventilation,all_domestic,tighten,subsidy,"SAME ANNOUNCEMENT, OPPOSITE SIGN: the Boiler Upgrade Scheme grant was raised 50% to £7,500. The product_revenue legs offset; see open item (b)."
fhbs-2023-consultation,,,new_build,tighten,consultation,"Future Homes and Buildings Standards consultation, WMS HCWS119. BAND UNRESOLVED, open item (a)."
redcar-hydrogen-cancelled,,heating_ventilation,all_domestic,loosen,strategy,"Ends the hydrogen-heating option. NARROW: bites only on hydrogen-ready boiler manufacturers. No curated firm has hydrogen boiler revenue, so this event may carry zero exposure variance — see open item (c)."
chmm-delayed,,heating_ventilation,all_domestic,loosen,obligation,"Clean Heat Market Mechanism postponed to April 2025. A manufacturers' obligation, so the loosening lands directly on boiler and heat pump makers."
autumn-budget-2024,,insulation;heating_ventilation,all_domestic,tighten,subsidy,"£3.4bn Warm Homes Plan plus £1.29bn Warm Homes: Social Housing Fund."
epc-reform-consultation,,,domestic_prs,tighten,consultation,"BAND DELIBERATELY BLANK, and this is not open item (a). The consultation reforms the EPC METRIC itself, changing what any band means; it does not mandate a band. Recording one would misstate the instrument."
prs-mees-epc-c-reinstated,C,,domestic_prs,tighten,consultation,"The mirror image of net-zero-rollback-2023: same band, same scope, opposite direction, 17 months later. The falsification pair the signed exposure measure exists to test."
spending-review-2025,,insulation;heating_ventilation;roof_integrated_solar,all_domestic,tighten,subsidy,"£13.2bn Warm Homes Plan confirmed to 2029-30. Solar is in scope because the plan funds solar and batteries alongside fabric and heat pumps."
dhs-and-social-mees-consultations,C,,social_rented,tighten,consultation,"Reformed Decent Homes Standard and social rented MEES published the same day; one event, one target row."
budget-2025-eco-abolished,,insulation;heating_ventilation,all_domestic,loosen,obligation,"ECO abolished from 2026-03-31. The largest demand shock to insulation installers in the sample."
warm-homes-plan,C,,domestic_prs,tighten,mandate,"PRS MEES response: EPC C by 2030-10-01 with a £10,000 cost cap. The landlord obligation becomes real, with a date and a price."
warm-homes-plan,,insulation;heating_ventilation;roof_integrated_solar,all_domestic,tighten,subsidy,"£15bn package covering fabric, heat pumps, solar and batteries."
social-mees-response,C,,social_rented,tighten,mandate,"EPC C or equivalent by 2030-04-01. Lands on registered providers rather than listed landlords; check any name loads before relying on it."
future-homes-standard-2026,,,new_build,loosen,mandate,"THE DELAY LEG: implementation pushed to 2028, in force 2027-03-24 with a 12-month transition. BAND UNRESOLVED, open item (a)."
future-homes-standard-2026,,roof_integrated_solar,new_build,tighten,mandate,"THE SOLAR LEG, OPPOSITE SIGN: solar generation equivalent to at least 40% of floor area mandated on most new homes. The category exists because R1a forced it during Tier 3 curation."
future-homes-standard-2026,,heating_ventilation,new_build,tighten,mandate,"Most new homes to be fitted with heat pumps or connected to heat networks; no new-build gas connections from 2028."
