date,announcement_timestamp_utc,policy,source_url,anticipation_risk,expected_direction,affected_sectors,direction,event_id,time_known,scheduled,confounders,event_tags,leak_note,notes,channel_targets,surprise_note,overlap_ack
2015-07-10,2015-07-10T00:00:00+00:00,Fixing the Foundations — zero carbon homes and allowable solutions dropped,https://commonslibrary.parliament.uk/research-briefings/sn06678/,medium,negative,housebuilders,loosen,zero-carbon-homes-cancelled,false,false,,future_homes,,inventory row 4; date_grade A,delivered_stock,,
2015-07-23,2015-07-23T00:00:00+00:00,Green Deal Finance Company funding ended; GDHIF closed,https://decc.blog.gov.uk/2015/07/23/changes-to-green-home-improvement-policies-announced-today,low,negative,insulation_and_materials,loosen,green-deal-funding-ended,false,false,,eco,,inventory row 5; date_grade A; groups with zero-carbon-homes-cancelled (13d apart),product_revenue,,true
2019-10-01,2019-10-01T00:00:00+00:00,Future Homes Standard 2019 consultation opens (Part L / Part F),https://www.gov.uk/government/consultations/the-future-homes-standard-changes-to-part-l-and-part-f-of-the-building-regulations-for-new-dwellings,low,positive,housebuilders,tighten,fhs-2019-consultation,false,false,,future_homes,,inventory row 10; date_grade A,delivered_stock,,
2020-11-18,2020-11-18T00:00:00+00:00,Ten Point Plan for a Green Industrial Revolution,https://www.gov.uk/government/publications/the-ten-point-plan-for-a-green-industrial-revolution,medium,positive,housebuilders;insulation_and_materials,tighten,ten-point-plan,false,false,,boiler_phase_out,,inventory row 14; date_grade A,product_revenue;delivered_stock,"Embargoed release, overnight — day 0 is clean.",
2021-01-19,2021-01-19T00:00:00+00:00,Government response to FHS 2019 consultation; Part L interim uplift confirmed,https://assets.publishing.service.gov.uk/media/60114c6c8fa8f565494239a7/Government_response_to_Future_Homes_Standard_consultation.pdf,medium,positive,housebuilders,tighten,fhs-2019-response,false,false,,future_homes,,inventory row 16; date_grade B,delivered_stock,,
2021-03-27,2021-03-27T00:00:00+00:00,GHG voucher scheme closed to new applications,https://www.nao.org.uk/wp-content/uploads/2021/09/Green-Homes-Grant-Voucher-Scheme.pdf,low,negative,insulation_and_materials,loosen,ghg-vouchers-closed,false,false,,green_homes_grant,,inventory row 17; date_grade A,product_revenue,"Best-shaped event in the list. Announced 17:00 Saturday, so t0 is the Monday 2021-03-29 open and the whole reaction sits in one session.",
2021-07-20,2021-07-20T00:00:00+00:00,ECO4 consultation opens,https://www.gov.uk/government/consultations/design-of-the-energy-company-obligation-eco4-2022-2026,medium,positive,insulation_and_materials,tighten,eco4-consultation,false,false,,eco,,inventory row 18; date_grade A,product_revenue,,
2021-10-19,2021-10-19T00:00:00+00:00,Heat and Buildings Strategy; Boiler Upgrade Scheme announced,https://www.gov.uk/government/publications/heat-and-buildings-strategy,high,positive,insulation_and_materials,tighten,heat-and-buildings-strategy,false,false,,heat_buildings_strategy,,inventory row 20; date_grade A,product_revenue,,
2021-12-15,2021-12-15T00:00:00+00:00,Part L 2021 Approved Documents published (31% uplift),https://www.planningportal.co.uk/applications/building-control-applications/building-control/approved-documents/part-l-conservation-of-fuel-and-power/approved-document-l-conservation-of-fuel-and-power-volume-1-dwellings/,low,positive,housebuilders,tighten,part-l-2021-published,false,false,,future_homes,,inventory row 21; date_grade A,delivered_stock,Largest single regulatory cost step on housebuilders in the sample.,
2022-04-07,2022-04-07T00:00:00+00:00,British Energy Security Strategy,https://www.gov.uk/government/publications/british-energy-security-strategy/british-energy-security-strategy,medium,positive,insulation_and_materials,tighten,energy-security-strategy,false,false,,heat_buildings_strategy,,inventory row 24; date_grade A,product_revenue,,
